nEvent , hitPos, hitType, layerZ, layerIndex, trackID 
1 , 2.8262e-05 , 1 , -16 , 0 , 0
1 , -9.03268e-07 , 0 , -21 , 1 , 0
1 , 0.00195689 , 1 , 131 , 2 , 0
1 , -0.00132902 , 0 , 151 , 3 , 0
1 , 0.0102005 , 1 , 477 , 4 , 0
1 , -0.00401329 , 0 , 497 , 5 , 0
1 , 0.693662 , 1 , 832 , 6 , 2
1 , -0.0550325 , 1 , 832 , 6 , 1
1 , 4.25123 , 0 , 843.7 , 7 , 2
1 , -0.135329 , 0 , 843.7 , 7 , 1
1 , 1.35398 , 1 , 1146 , 8 , 2
1 , -0.111435 , 1 , 1146 , 8 , 1
1 , 8.25428 , 0 , 1141 , 9 , 2
1 , -0.263385 , 0 , 1141 , 9 , 1
1 , 7.97482 , 2 , 1252.7 , 10 , 2
1 , -0.313102 , 2 , 1252.7 , 10 , 1
1 , 9.90609 , 0 , 1266 , 11 , 2
1 , -0.318151 , 0 , 1266 , 11 , 1
1 , 2.02503 , 1 , 1479.6 , 12 , 2
1 , -0.17055 , 1 , 1479.6 , 12 , 1
1 , 7.47822 , 3 , 1467.4 , 13 , 2
1 , -0.167975 , 3 , 1467.4 , 13 , 1
1 , 2.88742 , 1 , 1973 , 14 , 2
1 , -0.257709 , 1 , 1973 , 14 , 1
1 , 18.9976 , 0 , 1960 , 15 , 2
1 , -0.624533 , 0 , 1960 , 15 , 1
2 , -1.78647e-05 , 1 , -16 , 0 , 0
2 , 4.83394e-07 , 0 , -21 , 1 , 0
2 , -0.000375065 , 1 , 131 , 2 , 0
2 , 0.00179628 , 0 , 151 , 3 , 0
2 , 0.00146764 , 1 , 477 , 4 , 0
2 , 0.00835404 , 0 , 497 , 5 , 0
2 , -1.3374 , 1 , 832 , 6 , 2
2 , -0.121674 , 1 , 832 , 6 , 1
2 , -3.93031 , 0 , 843.7 , 7 , 2
2 , -0.0914207 , 0 , 843.7 , 7 , 1
2 , -2.79309 , 1 , 1146 , 8 , 2
2 , -0.25014 , 1 , 1146 , 8 , 1
2 , -7.69648 , 0 , 1141 , 9 , 2
2 , -0.18167 , 0 , 1141 , 9 , 1
2 , -8.79077 , 2 , 1252.7 , 10 , 2
2 , -0.359946 , 2 , 1252.7 , 10 , 1
2 , -9.27269 , 0 , 1266 , 11 , 2
2 , -0.21981 , 0 , 1266 , 11 , 1
2 , -4.50357 , 1 , 1479.6 , 12 , 2
2 , -0.384477 , 1 , 1479.6 , 12 , 1
2 , -5.19458 , 3 , 1467.4 , 13 , 2
2 , 0.0704818 , 3 , 1467.4 , 13 , 1
2 , -7.0983 , 1 , 1973 , 14 , 2
2 , -0.585098 , 1 , 1973 , 14 , 1
2 , -17.9631 , 0 , 1960 , 15 , 2
2 , -0.423971 , 0 , 1960 , 15 , 1
3 , -1.01687e-05 , 1 , -16 , 0 , 0
3 , -2.84225e-07 , 0 , -21 , 1 , 0
3 , -0.000461201 , 1 , 131 , 2 , 0
3 , -0.000825834 , 0 , 151 , 3 , 0
3 , -0.00219823 , 1 , 477 , 4 , 0
