nEvent , x0 , y0 , Ax , Ay , err_x0 , err_y0 , err_Ax , err_Ay , chi2 
1 , -6.82059 , -0.859269 , 0.0131866 , 0.00191771 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 13.1497
1 , 0.236433 , 0.0924279 , -0.000438738 , -0.000177679 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00730797
2 , 6.65786 , 2.96083 , -0.0125688 , -0.0050699 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 18.814
2 , 0.157934 , 0.215333 , -0.0002975 , -0.000405604 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00959732
3 , 9.9099 , -2.52655 , -0.0191377 , 0.00480777 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 9.17819
3 , 0.010279 , 0.164703 , -2.76785e-05 , -0.00030244 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0238099
4 , 0.131479 , -0.034203 , -0.000243403 , 6.38907e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00346461
4 , -2.02291 , 13.8069 , 0.000412056 , -0.0266786 , 0.0691543 , 0.0737101 , 4.71686e-05 , 5.99396e-05 , 32.6156
5 , 0.0344725 , 0.145191 , -5.26214e-05 , -0.000261515 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0239009
5 , 11.8504 , -8.88724 , -0.0215419 , 0.0169624 , 0.0890797 , 0.0747185 , 7.64409e-05 , 6.10824e-05 , 17.5862
6 , 1.73487 , 7.95618 , -0.00355289 , -0.0151203 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 7.97605
6 , 0.051546 , 0.245024 , -9.60587e-05 , -0.000466835 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00406988
7 , 0.126458 , 0.0729681 , -0.000234963 , -0.000142688 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0123142
